Species assignment file not found. Ignoring species assignments.
Sample	X-alleles	Y-alleles	FalsePosY	FalseNegY	CalledSex
102_K_Kit_Fox_S76.ZFX	0	12	0.1e1	NA	M
105_K_Kit_Fox_S79.ZFX	82	9	0.0	NA	F
10R_6155_5_Tissue_S276.ZFX	419	2937	0.1e1	NA	M
115_unk_Kit_Fox_S89.ZFX	941	3	0.0	NA	F
118_K_Kit_Fox_S92.ZFX	97	470	0.967e0	NA	M
119_K_Kit_Fox_S93.ZFX	83	163	0.0	NA	F
122_K_Kit_Fox_S96.ZFX	178	1394	0.1e1	NA	M
12_C_a_Kit_Fox_S5.ZFX	72	589	0.1e1	NA	M
13R_5447_8_Tissue_S279.ZFX	3240	14	0.0	NA	F
157_K_Kit_Fox_S103.ZFX	114	3	0.0	NA	F
16R_6154_9_Tissue_S282.ZFX	679	3115	0.1e1	NA	M
173_K_Kit_Fox_S115.ZFX	170	20	0.0	NA	F
18R_1424_9_Scat_S284.ZFX	63	0	NA	0.0	F
196_K_Kit_Fox_S139.ZFX	226	1608	0.1e1	NA	M
198_K_Kit_Fox_S141.ZFX	146	383	0.0	NA	F
199_K_Kit_Fox_S142.ZFX	960	5	0.0	NA	F
19R_5443_10_Tissue_S285.ZFX	524	2581	0.1e1	NA	M
1R_5448_1_Tissue_S267.ZFX	2922	7	0.0	NA	F
200_K_Kit_Fox_S143.ZFX	240	613	0.0	NA	F
201_K_Kit_Fox_S144.ZFX	10	78	0.989e0	NA	M
207_K_Kit_Fox_S149.ZFX	352	2	0.0	NA	F
213_K_Kit_Fox_S157.ZFX	304	387	0.0	NA	F
227_K_b_Kit_Fox_S171.ZFX	93	2	0.0	NA	F
230_K_Kit_Fox_S173.ZFX	21	114	0.925e0	NA	M
231_K_Kit_Fox_S174.ZFX	2911	12	0.0	NA	F
236_K_Kit_Fox_S177.ZFX	61	303	0.952e0	NA	M
241_K_Kit_Fox_S182.ZFX	102	2	0.0	NA	F
242_K_Kit_Fox_S183.ZFX	716	5	0.0	NA	F
254_K_Kit_Fox_S193.ZFX	87	221	0.0	NA	F
25_C_Kit_Fox_S13.ZFX	353	1834	0.1e1	NA	M
267_K_Kit_Fox_S204.ZFX	921	4	0.0	NA	F
271_K_Kit_Fox_S208.ZFX	200	1	0.0	NA	F
272_K_Kit_Fox_S209.ZFX	376	4	0.0	NA	F
27_C_a_Kit_Fox_S15.ZFX	47	179	0.417e0	NA	M
281_K_Kit_Fox_S218.ZFX	129	3	0.0	NA	F
284_K_Kit_Fox_S221.ZFX	534	2637	0.1e1	NA	M
287_K_Kit_Fox_S224.ZFX	30	0	NA	0.0	F
290_K_Kit_Fox_S227.ZFX	258	657	0.0	NA	F
302_C_Kit_Fox_S236.ZFX	83	794	0.1e1	NA	M
303_C_Kit_Fox_S237.ZFX	344	1	0.0	NA	F
334_U_Kit_Fox_S264.ZFX	317	1480	0.996e0	NA	M
345_K_Kit_Fox_S266.ZFX	0	0	NA	NA	?
34_C_Kit_Fox_S24.ZFX	182	0	NA	0.0	F
4R_5450_2_Tissue_S270.ZFX	3020	7	0.0	NA	F
62_K_Kit_Fox_S39.ZFX	225	895	0.502e0	NA	M
63_K_a_Kit_Fox_S40.ZFX	152	125	0.0	NA	F
63_K_b_Kit_Fox_S41.ZFX	535	9	0.0	NA	F
65_K_Kit_Fox_S44.ZFX	601	8	0.0	NA	F
67_K_a_Kit_Fox_S46.ZFX	262	1119	0.852e0	NA	M
67_K_b_Kit_Fox_S47.ZFX	45	153	0.197e0	NA	M
70_K_a_Kit_Fox_S49.ZFX	132	236	0.0	NA	F
70_K_c_Kit_Fox_S51.ZFX	21	97	0.764e0	NA	M
71_K_Kit_Fox_S52.ZFX	235	5	0.0	NA	F
73-k_Kit_Fox_S21.ZFX	220	1	0.0	NA	F
75_K_Kit_Fox_S55.ZFX	339	4	0.0	NA	F
77_K_Kit_Fox_S56.ZFX	37	4	0.0	NA	F
7R_6142_3_Tissue_S273.ZFX	2030	14	0.0	NA	F
81_K_Kit_Fox_S59.ZFX	1418	1	0.0	NA	F
83_K_Kit_Fox_S61.ZFX	231	8	0.0	NA	F
89_K_Kit_Fox_S65.ZFX	1623	995	0.0	NA	F
90_K_Kit_Fox_S66.ZFX	1548	1	0.0	NA	F
91_K_Kit_Fox_S67.ZFX	116	1	0.0	NA	F
93_K_Kit_Fox_S69.ZFX	119	498	0.7e0	NA	M
94_K_Kit_Fox_S70.ZFX	151	680	0.921e0	NA	M
96_K_Kit_Fox_S71.ZFX	339	455	0.0	NA	F
JEM-6121_S14.ZFX	2649	1	0.0	NA	F
JEM-6193_S15.ZFX	127	645	0.995e0	NA	M
JEM-6203_S16.ZFX	2004	0	NA	0.0	F
JEM-6253_S17.ZFX	620	3099	0.1e1	NA	M
JEM-6449_S18.ZFX	723	2881	0.507e0	NA	M
